Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,159.66000400000001,159.66000400000001,158.259995,158.880005,150.094833,2323600
2016-09-01,158.320007,159.619995,158.100006,159.53999299999998,150.718338,2358400
2016-09-02,159.880005,160.570007,159.149994,159.550003,150.727798,2315400
2016-09-06,159.880005,160.860001,159.110001,160.350006,151.483551,2994100
2016-09-07,160.190002,161.759995,160.0,161.639999,152.70224,2867300
2016-09-08,160.550003,161.21000700000002,158.759995,159.0,150.20820600000002,3919300
2016-09-09,158.029999,158.399994,155.649994,155.690002,147.08123799999998,5186000
2016-09-12,155.259995,158.529999,154.83999599999999,158.28999299999998,149.537476,4367500
2016-09-13,157.630005,157.929993,155.5,155.809998,147.19456499999998,3636700
2016-09-14,155.699997,155.869995,153.389999,154.050003,145.531891,3860600
2016-09-15,154.300003,156.330002,153.21000700000002,155.66000400000001,147.052887,3645600
2016-09-16,155.03999299999998,155.399994,153.470001,153.83999599999999,145.333527,6463600
2016-09-19,154.869995,156.190002,154.550003,154.869995,146.306549,2442800
2016-09-20,155.869995,156.570007,154.449997,154.449997,145.909775,2159100
2016-09-21,154.91000400000001,155.679993,153.869995,155.529999,146.930069,2473900
2016-09-22,156.149994,157.220001,155.690002,156.110001,147.478012,2691100
2016-09-23,155.619995,156.03999299999998,154.71000700000002,154.979996,146.41047700000001,2702200
2016-09-26,154.46000700000002,154.46000700000002,153.46000700000002,153.979996,145.465775,2533300
2016-09-27,154.320007,156.770004,153.809998,156.770004,148.101501,2987200
2016-09-28,156.990005,158.630005,156.229996,158.28999299999998,149.537476,3310000
2016-09-29,158.630005,165.0,157.46000700000002,158.110001,149.367416,3374800
2016-09-30,158.899994,159.83999599999999,158.059998,158.850006,150.066498,3596900
2016-10-03,158.059998,158.369995,157.020004,157.610001,148.89505,2227800
2016-10-04,157.669998,158.529999,155.820007,156.46000700000002,147.80865500000002,2884100
2016-10-05,157.070007,157.830002,156.720001,157.080002,148.394363,1684500
2016-10-06,156.83999599999999,157.429993,155.889999,156.880005,148.205414,1950100
2016-10-07,157.139999,157.699997,154.860001,155.669998,147.062332,2671900
2016-10-10,156.71000700000002,158.490005,156.66000400000001,157.020004,148.337692,2449800
2016-10-11,156.729996,156.949997,153.889999,154.78999299999998,146.230988,2901300
2016-10-12,154.970001,154.970001,153.080002,154.28999299999998,145.758621,2964000
2016-10-13,153.699997,154.220001,152.270004,153.720001,145.220154,2909900
